# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1210b64138d0b0bb
# CUDA_DEVICE 0 GeForce 9600 GT
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
1210b66d609760a0,_Z4multP7complexS0_ii,573246,574282,0.667,100,50,512,1,1,0,48,11,0,-1,,0,1020000,0,13140016,0,1250,128000000,0,1280000,0,0,0,0,0
1210b66d82e90dc0,memcpyHtoD,71631.7,73062.5,,,,,,,,,,0,0,100663296,0
1210b66d87318940,_Z16MatVecMulComplexPK7complexiiPS_S2_,4700.29,4779.69,0.667,1,192,128,1,1,1024,48,13,0,-1,,0,50400,24,794666,0,48,0,393216,144,192,0,0,0,0
1210b66d877c22e0,_Z17subMatrixVecScal1P7complexS0_S0_iii,5820.51,5961.32,0.667,64,12,32,16,1,8328,64,14,0,-1,,0,67640,1528,1265551,0,192,2880,208240,0,1564672,0,0,0,0
1210b66d87d96c80,_Z7SetmatLP7complexS0_ii,2.944,151.417,0.25,1,1,1,192,1,0,48,6,0,-1,,0,8,1,212,0,1,193,12,0,104,0,0,0,0
1210b66d87dc08c0,_Z16MatVecMulComplexPK7complexiiPS_S2_,4665.5,4763.4,0.667,1,191,128,1,1,1024,48,13,0,-1,,0,48300,23,761552,0,47,0,385024,188,0,0,0,0,0
1210b66d8825a540,_Z17subMatrixVecScal1P7complexS0_S0_iii,5808.58,5870.76,0.667,64,12,32,16,1,8328,64,14,0,-1,,0,67312,1520,1259247,0,192,2864,207216,0,1556480,0,0,0,0
1210b66d888e7360,_Z7SetmatLP7complexS0_ii,4.48,969.835,0.25,1,1,1,191,1,0,48,6,0,-1,,0,8,1,212,0,1,192,12,0,104,0,0,0,0
1210b66d8890ed20,_Z17VecMulVechSumMatrP7complexii,4.352,102.063,0.25,1,1,1,190,1,0,32,11,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210b66d88939180,_Z12RowScalarMulP7complexii,2.4,102.063,0.042,1,1,1,1,1,0,32,10,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210b66d88961120,_Z16MatVecMulComplexPK7complexiiPS_S2_,4648.9,4707.34,0.667,1,190,128,1,1,1024,48,13,0,-1,,0,50400,24,794662,0,48,0,393216,168,96,0,0,0,0
1210b66d88dfc2c0,_Z17subMatrixVecScal1P7complexS0_S0_iii,5783.81,5892.8,0.667,64,12,32,16,1,8328,64,14,0,-1,,0,66984,1512,1252943,0,192,2848,206192,0,1548288,0,0,0,0
1210b66d893a60c0,_Z7SetmatLP7complexS0_ii,2.976,97.75,0.25,1,1,1,190,1,0,48,6,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210b66d893cb5e0,_Z17VecMulVechSumMatrP7complexii,4.128,98.229,0.5,2,1,1,189,1,0,32,11,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210b66d893f0e60,_Z12RowScalarMulP7complexii,2.176,99.188,0.042,1,1,2,1,1,0,32,10,0,-1,,0,0,0,0,0,1,4,0,4,0,0,0,0,0
